,,1999-00,,,2000-01,,,2001-02,,,2002-03,,,2003-04,,,2004-05,,,2005-06,,,2006-07,,,2007-08,,,2009-10,,,2010-11,,,2011-12,,,2012-13,,,2013-14,,,2014-15,,,2015-16,,,2016-17,,,2017-18,,,2018-19,,,2019-20,,,2020-21,,,2021-22,,,2022-23,,
Code,Area,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £,Number of Individuals,Mean £,Median £
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000021,Kingston-upon-Thames,"71,000","28,400","20,900","77,000 ","26,400 ","18,800 ","77,000","28,400","19,500","79,000","27,900","20,700","78,000","28,300","20,100","82,000","30,500","20,400","86,000","33,400","22,400","85,000","34,300","22,900","82,000","38,200","25,200","78,000","39,200","25,600","88,000","35,500","24,800","82,000","38,700","26,000","83,000","39,900 ","26,500 ","84,000","41,900 ","26,100 ","79,000","43,600 ","29,100 ","80,000","45,800 ","30,300 ","86,000","44,500 ","30,200 ","79,000","48,700 ","32,400 ","84,000","50,300 ","33,300 ","84,000","50,500 ","33,500 ","81,000","54,000","34,700","82,000","56,500","35,900","91,000","57,300","37,300"
E09000022,Lambeth,"131,000","20,700","15,400","126,000 "," 21,900 "," 15,300 ","119,000","25,600","18,200","119,000","25,900","18,800","119,000","26,600","20,000","137,000","26,800","19,900","134,000","28,700","20,700","145,000","30,900","21,600","147,000","33,300","22,200","149,000","35,400","24,000","153,000","34,200","24,000","148,000","35,700","24,600","148,000","37,600 ","26,000 ","151,000","40,600 ","26,800 ","161,000","41,100 ","27,300 ","161,000","43,700 ","28,400 ","165,000","43,900 ","29,200 ","162,000","45,600 ","29,900 ","170,000","47,500 ","31,900 ","168,000","49,100 ","31,900 ","167,000","51,900","32,800","169,000","56,100","34,500","179,000","57,900","35,800"
E09000023,Lewisham,"106,000","18,200","14,900","129,000 "," 19,400 "," 15,300 ","113,000","21,600","18,000","113,000","21,400","17,300","114,000","21,500","17,000","130,000","23,100","18,100","124,000","25,200","20,000","124,000","25,800","20,900","137,000","27,100","21,000","117,000","28,700","22,300","121,000","29,300","23,200","126,000","29,800","22,900","121,000","30,400 ","23,000 ","126,000","31,500 ","24,000 ","135,000","32,400 ","24,900 ","131,000","34,500 ","25,800 ","138,000","35,900 ","26,700 ","140,000","36,800 ","27,300 ","140,000","38,000 ","27,900 ","139,000","41,100 ","30,100 ","141,000","42,600","30,900","149,000","44,800","32,000","152,000","48,300","34,500"
E09000024,Merton,"92,000","27,900","19,100","109,000 ","27,900 ","18,400 ","96,000","28,900","18,500","94,000","31,600","21,200","86,000","31,300","19,700","105,000","31,600","19,400","103,000","34,800","20,500","104,000","37,200","21,600","113,000","39,400","22,300","106,000","44,000","24,100","105,000","43,100","24,700","106,000","43,700","25,200","105,000","44,400 ","25,800 ","105,000","48,700 ","27,800 ","106,000","46,900 ","27,600 ","108,000","50,800 ","28,500 ","111,000","53,200 ","29,500 ","111,000","54,600 ","30,200 ","108,000","56,300 ","30,300 ","112,000","55,300 ","30,300 ","112,000","58,500","32,600","114,000","63,000","33,900","122,000","65,600","36,400"
E09000025,Newham,"80,000","15,800","13,300","95,000 "," 17,000 "," 14,700 ","88,000","17,700","15,300","96,000","17,300","15,000","96,000","17,400","14,500","112,000","18,500","15,100","109,000","19,200","15,200","115,000","19,600","15,800","122,000","21,000","16,500","118,000","21,900","17,600","123,000","21,700","17,400","127,000","22,000","17,600","130,000","23,100 ","18,500 ","124,000","24,800 ","20,100 ","130,000","25,400 ","20,200 ","136,000","27,300 ","22,100 ","134,000","28,200 ","22,500 ","141,000","30,000 ","24,100 ","154,000","31,000 ","24,300 ","158,000","31,700 ","24,600 ","144,000","34,300","26,600","146,000","36,100","28,300","165,000","37,200","28,900"
E09000026,Redbridge,"96,000","21,700","17,100","98,000 ","21,700 ","16,900 ","118,000","23,800","17,200","111,000","24,000","18,700","111,000","24,100","19,000","120,000","24,500","17,800","122,000","26,500","20,000","126,000","28,300","20,700","128,000","29,100","21,600","124,000","30,200","22,300","128,000","29,400","22,200","127,000","30,900","22,900","128,000","31,800 ","23,800 ","130,000","33,100 ","25,100 ","131,000","33,900 ","25,700 ","140,000","35,300 ","26,400 ","137,000","35,500 ","27,400 ","136,000","37,100 ","28,000 ","138,000","37,100 ","27,300 ","138,000","38,500 ","28,900 ","139,000","40,300","30,400","138,000","42,700","31,200","145,000","44,200","31,200"
E09000027,Richmond-upon-Thames,"86,000","37,300","20,900","113,000 ","36,700 ","21,100 ","94,000","41,500","23,400","93,000","39,500","23,100","84,000","42,700","25,600","102,000","41,800","24,500","102,000","47,500","25,800","99,000","52,500","27,300","104,000","56,900","29,100","101,000","58,900","30,800","101,000","56,300","30,600","104,000","57,400","31,500","102,000","58,800 ","33,400 ","107,000","64,000 ","33,700 ","104,000","64,600 ","35,800 ","104,000","67,300 ","35,500 ","103,000","67,000 ","36,600 ","108,000","69,000 ","36,100 ","105,000","73,800 ","37,600 ","104,000","77,400 ","38,900 ","106,000","77,900","39,500","104,000","90,400","44,000","106,000","92,200","45,300"
E09000028,Southwark,"114,000","20,400","14,600","120,000 "," 22,500 "," 15,400 ","97,000","25,900","16,900","111,000","24,600","17,900","115,000","25,400","18,200","124,000","26,300","17,800","133,000","29,500","20,000","136,000","31,800","20,400","136,000","36,000","21,900","127,000","36,800","23,300","136,000","35,400","23,800","138,000","36,500","24,300","135,000","37,500 ","25,000 ","136,000","40,500 ","26,200 ","140,000","41,600 ","27,700 ","144,000","44,200 ","27,100 ","148,000","45,400 ","29,400 ","146,000","48,600 ","29,400 ","158,000","49,400 ","31,400 ","152,000","53,400 ","33,500 ","146,000","55,300","33,900","156,000","57,800","34,400","166,000","59,400","36,200"
E09000029,Sutton,"93,000","21,000","16,400","82,000 ","21,900 ","17,000 ","98,000","23,100","17,600","93,000","23,700","17,800","90,000","24,600","18,400","95,000","25,600","18,900","101,000","26,300","20,200","99,000","28,400","21,400","100,000","30,000","22,500","98,000","30,000","23,200","103,000","29,100","22,300","99,000","31,400","25,300","97,000","32,400 ","25,000 ","103,000","32,800 ","25,100 ","102,000","33,600 ","25,900 ","102,000","35,400 ","27,400 ","103,000","35,500 ","27,300 ","103,000","36,900 ","28,200 ","101,000","38,500 ","29,700 ","102,000","40,200 ","30,200 ","100,000","41,400","31,400","102,000","45,200","33,300","110,000","44,400","33,400"
E09000030,Tower Hamlets,"59,000","22,900","14,200","81,000 "," 25,000 "," 16,500 ","76,000","29,900","19,100","76,000","28,500","19,300","69,000","28,300","18,300","90,000","29,600","19,200","89,000","31,500","19,800","103,000","33,500","19,400","103,000","37,400","21,200","110,000","38,300","24,500","107,000","37,400","24,000","112,000","38,200","24,700","115,000","39,000 ","25,800 ","119,000","40,800 ","27,000 ","121,000","41,800 ","26,600 ","122,000","45,000 ","28,900 ","130,000","46,600 ","30,500 ","136,000","46,600 ","30,200 ","136,000","49,300 ","31,100 ","140,000","50,100 ","32,700 ","139,000","52,700","34,100","147,000","55,500","35,500","158,000","57,100","37,300"
